Cnty,Lake,Lat,Lon
Bottineau County,Harts Lake,48.9852912,-100.4212571
Kidder County,Headquarters Lake,46.8444284,-99.7128845
Sheridan County,Heckers Lake,47.342218,-100.6698532
McHenry County,Heffner Lake,48.1836141,-100.504583
Burke County,Helde Lake,48.6736422,-102.5835094
Williams County,Helle Slough,48.5753049,-103.1285168
Bottineau County,Hellick Lake,48.9277828,-100.2462446
Bottineau County,Hemming Lake,48.9113948,-100.2881917
Pierce County,Herd Lake,48.4924964,-99.9520821
McHenry County,Herrington Lake,48.0869485,-100.5051409
Burke County,Hidden Slough,48.637252,-102.4268396
Dickey County,Hilles Lake,46.1888587,-98.9287176
Nelson County,Hillesland Lake,47.751382,-97.9973184
Wells County,Hirshkorn Lake,47.625557,-99.7242889
Barnes County,Hobart Lake,46.9144269,-98.1400948
Williams County,Holm Lake,48.623918,-103.5435261
Rolette County,Hooker Lake,48.9591719,-99.8895769
Griggs County,Hoot-E-Too Lake,47.6280527,-98.4839888
Burke County,Hoover Lake,48.5694718,-102.3679489
Sheridan County,Horse Lake,47.3691621,-100.4090127
Kidder County,Horsehead Lake,47.0383207,-99.7892728
Burleigh County,Horseshoe Lake,47.2286025,-100.2490037
Richland County,Horseshoe Lake,46.0427367,-96.9861945
Williams County,Horseshoe Lake,48.5961376,-104.0463243
Pierce County,Horseshoe Lake,48.4294416,-100.2615229
Benson County,Horseshoe Lake,48.3313875,-99.800968
Nelson County,Horseshoe Lake,47.7630485,-97.9781512
Nelson County,Horseshoe Lake,47.9169399,-98.1259333
Eddy County,Horseshoe Lake,47.8502761,-98.7951095
Rolette County,Horseshoe Lake,48.9141695,-99.985685
Rolette County,Howard Lake,48.866947,-99.9445788
McLean County,Howells Lake,47.5266654,-100.6779129
Rolette County,Huff Lake,48.9325042,-99.9145769
Rolette County,Hufty Lake,48.9477846,-99.7748618
Sargent County,Hultman Lake,46.2735727,-97.5059249
Pierce County,Hurricane Lake,48.4416653,-99.5134715
Kidder County,Hutchinson Lake,47.174434,-100.0953881
Kidder County,Iowa Lake,47.1222133,-99.6292772
Logan County,Island Lake,46.370809,-99.5848331
Barnes County,Island Lake,46.9013754,-98.3912029
Rolette County,Island Lake,48.5861096,-99.696533
Bottineau County,Island Lake,48.9019485,-100.2120777
Rolette County,Island Lake,48.963061,-99.8812437
Burke County,Island Lake,48.6755873,-102.5132306
Burke County,Iverson Lake,48.6703081,-102.3768372
Burke County,Iverson Slough,48.6628083,-102.415172
Foster County,Jack Lake,47.4136078,-98.8226062
Stutsman County,Jaff Slough,46.8672085,-99.0934441
Rolette County,Jarvis Lake,48.9230606,-99.8526365
Rolette County,Jay Lake,48.9455595,-99.9490186
Divide County,Jensen Lake,48.6653074,-103.0626822
Burke County,Jensen Lake,48.6272509,-102.3373915
Burke County,Jerrys Slough,48.641141,-102.4229504
Sheridan County,Johns Lake,47.3805521,-100.4845701
Sheridan County,Johnson Lake,47.7658327,-100.1084627
Eddy County,Johnson Lake,47.6780529,-98.5231566
Rolette County,Johnson Lake,48.8691695,-99.9295796
Burke County,Johnsons Lake,48.7469781,-102.5948965
